	spanish_verb
0	ser
1	haber
2	estar
3	hablar
4	deber
5	vivir
6	tener
7	decir
8	hacer
9	poder
10	ir
11	dar
12	ver
13	saber
14	querer
15	creer
16	poner
17	parecer
18	seguir
19	pensar
20	venir
21	encontrar
22	salir
23	volver
24	sentir
25	producir
26	buscar
27	oír
28	entender
29	morir
30	caer
31	jugar
32	elegir
33	traer
34	andar
35	incluir
36	valer
37	reunir
38	actuar
39	caber
40	enviar
41	adquirir
42	coger
43	sonreír
44	prohibir
45	oler
46	asir
47	lucir
48	aislar
49	adecuar
50	averiguar
51	bendecir
52	complacer
53	pudrir
54	predecir
55	yacer
56	erguir
57	aunar
58	rehusar
59	errar
60	engullir
61	discernir
62	gruñir
63	endeudarse
64	delinquir
65	argüir
66	reñir
67	corroer
68	tañer
69	prohijar
70	raer
71	europeizar
